2,1,1.86401
2,4,1.86139
2,16,1.87119
2,64,1.86534
2,256,1.87613
2,1024,1.8539
4,1,1.7392
4,4,1.73297
4,16,1.73142
4,64,1.73958
4,256,1.74058
4,1024,1.72105
8,1,1.62423
8,4,1.62427
8,16,1.62396
8,64,1.61386
8,256,1.61715
8,1024,1.62392
16,1,1.61522
16,4,1.61181
16,16,1.55513
16,64,1.58574
16,256,1.60805
16,1024,1.61075
32,1,1.59111
32,4,1.60544
32,16,1.60425
32,64,1.61314
32,256,1.61621
32,1024,1.60048
64,1,1.61375
64,4,1.60959
64,16,1.60674
64,64,1.58826
64,256,1.59387
64,1024,1.60086
128,1,1.59462
128,4,1.5849
128,16,1.61057
128,64,1.60179
128,256,1.59828
128,1024,1.60191
256,1,1.61472
256,4,1.60265
256,16,1.59717
256,64,1.60233
256,256,1.61266
256,1024,1.60117
512,1,1.59759
512,4,1.60131
512,16,1.60086
512,64,1.58978
512,256,1.61038
512,1024,1.61621
1024,1,1.6095
1024,4,1.59475
1024,16,1.60974
1024,64,1.61347
1024,256,1.59809
1024,1024,1.60927
