2,1,38.844
2,4,10.1704
2,64,2.09991
2,1024,2.02038
2,10000,1.95848
4,1,19.7426
4,4,5.36583
4,64,1.40109
4,1024,1.37748
4,10000,1.57285
8,1,10.1919
8,4,2.9663
8,64,1.09558
8,1024,1.13403
8,10000,1.41123
16,1,5.40824
16,4,1.66615
16,64,0.96824
16,1024,0.951572
16,10000,1.27072
32,1,2.97647
32,4,1.09842
32,64,0.912858
32,1024,0.932433
32,10000,1.253
64,1,1.73977
64,4,0.921195
64,64,0.911476
64,1024,0.880819
64,10000,1.25741
128,1,1.12578
128,4,0.890765
128,64,0.909411
128,1024,0.875136
128,10000,1.24975
256,1,1.00778
256,4,0.903206
256,64,0.868292
256,1024,0.879794
256,10000,1.25152
512,1,0.954803
512,4,0.902826
512,64,0.898453
512,1024,0.881704
512,10000,1.32924
1024,1,1.00133
1024,4,0.895708
1024,64,0.893756
1024,1024,0.88927
1024,10000,1.60068
