2,1,38.8639
2,4,10.1718
2,16,2.95815
2,64,2.10628
2,256,2.04325
2,1024,2.01505
4,1,19.7505
4,4,5.37038
4,16,1.72631
4,64,1.34229
4,256,1.4071
4,1024,1.38161
8,1,10.1885
8,4,2.96567
8,16,1.11192
8,64,1.09238
8,256,1.07708
8,1024,1.13167
16,1,5.41186
16,4,1.6711
16,16,0.927551
16,64,0.965625
16,256,0.928742
16,1024,0.952768
32,1,2.82416
32,4,1.09797
32,16,0.909213
32,64,0.915893
32,256,0.893533
32,1024,0.926566
64,1,1.73763
64,4,0.921745
64,16,0.897445
64,64,0.908925
64,256,0.894273
64,1024,0.877979
128,1,1.12796
128,4,0.92312
128,16,0.898674
128,64,0.908983
128,256,0.88711
128,1024,0.875685
256,1,1.00742
256,4,0.875946
256,16,0.892619
256,64,0.872101
256,256,0.882197
256,1024,0.879985
512,1,0.958586
512,4,0.87011
512,16,0.892841
512,64,0.900657
512,256,0.882169
512,1024,0.879754
1024,1,1.00662
1024,4,0.865716
1024,16,0.880605
1024,64,0.865841
1024,256,0.883198
1024,1024,0.892207
