1024,1,0.0575428
1024,2,0.0466813
1024,4,0.127201
1024,8,0.224624
1024,16,0.142853
1024,32,0.149193
1024,56,0.544018
2048,1,0.340964
2048,2,0.214494
2048,4,0.211622
2048,8,0.295041
2048,16,0.270687
2048,32,0.184745
2048,56,0.320314
4096,1,4.79036
4096,2,2.64609
4096,4,1.44814
4096,8,0.975617
4096,16,0.771954
4096,32,0.652647
4096,56,0.516401
8192,1,27.3184
8192,2,14.5649
8192,4,7.71488
8192,8,4.42343
8192,16,3.17764
8192,32,2.79463
8192,56,2.05475
16384,1,171.606
16384,2,87.881
16384,4,47.7855
16384,8,26.4566
16384,16,17.5722
16384,32,17.1312
